epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,9301.97,0.61959,1.13644,0.67687,0.96246,0,0.60895,0.78518,0.70785,0.55516,0.4907,0.65771,0.58773,0.4489,0.84004,1.39512,1.05424,1.18375,0,0.000435391,0.000435391,0.000435391
29,9513.5,0.61037,1.1226,0.66888,0.9584,0,0.61965,0.77391,0.71257,0.55942,0.48843,0.6558,0.58618,0.45307,0.83143,1.37595,1.0912,1.17601,0,0.000420665,0.000420665,0.000420665
30,9725.79,0.62881,1.10441,0.67109,0.95938,0,0.61451,0.76454,0.69249,0.52555,0.51056,0.6662,0.58277,0.42364,0.85863,1.31234,1.08536,1.18645,0,0.000405939,0.000405939,0.000405939
31,9933.05,0.61591,1.12899,0.65401,0.95487,0,0.69611,0.78419,0.72781,0.56284,0.57872,0.64299,0.6048,0.46127,0.84515,1.29183,1.0242,1.19841,0,0.000391213,0.000391213,0.000391213
32,10132.7,0.60651,1.083,0.64967,0.95115,0,0.65318,0.74988,0.71384,0.56724,0.55807,0.64884,0.59722,0.46221,0.85519,1.26759,1.02521,1.21231,0,0.000376486,0.000376486,0.000376486
33,10332.7,0.60487,1.0829,0.6521,0.95748,0,0.58771,0.77382,0.66649,0.51559,0.53179,0.62109,0.55711,0.4239,0.84577,1.31326,1.10363,1.19423,0,0.00036176,0.00036176,0.00036176
34,10532.6,0.61189,1.09496,0.63744,0.95757,0,0.50361,0.71162,0.63139,0.50492,0.4373,0.54101,0.51816,0.40122,0.86393,1.3918,1.1696,1.20361,0,0.000347034,0.000347034,0.000347034
35,10742.8,0.60293,1.08001,0.63748,0.95986,0,0.62738,0.7229,0.67251,0.53611,0.52556,0.62182,0.5683,0.42872,0.85463,1.37987,1.12093,1.20385,0,0.000332308,0.000332308,0.000332308
36,10950.9,0.59951,1.08902,0.62508,0.948,0,0.60289,0.77013,0.69984,0.55922,0.49283,0.6618,0.58388,0.44806,0.83413,1.31262,1.09298,1.16226,0,0.000317581,0.000317581,0.000317581
37,11165.8,0.59786,1.0902,0.63367,0.95141,0,0.65637,0.80448,0.72168,0.56779,0.53592,0.67469,0.59944,0.47806,0.84282,1.37554,1.04046,1.17979,0,0.000302855,0.000302855,0.000302855
38,11383.6,0.58468,1.03348,0.62414,0.94399,0,0.59431,0.80315,0.6985,0.55563,0.4772,0.68872,0.57528,0.44414,0.83778,1.45391,1.07193,1.1985,0,0.000288129,0.000288129,0.000288129
39,11669.2,0.58998,1.09468,0.62569,0.95486,0,0.64958,0.74898,0.6796,0.53344,0.53355,0.62802,0.56067,0.42339,0.82573,1.4211,1.10116,1.18754,0,0.000273402,0.000273402,0.000273402
40,11956,0.58143,1.09319,0.61969,0.94816,0,0.68264,0.75195,0.72021,0.57063,0.57395,0.64291,0.60629,0.4665,0.8047,1.34984,1.08932,1.17442,0,0.000258676,0.000258676,0.000258676
41,12241.5,0.57689,1.04035,0.61136,0.9423,0,0.72071,0.70677,0.70821,0.56962,0.62021,0.59844,0.60808,0.47275,0.81933,1.31788,1.10544,1.16206,0,0.00024395,0.00024395,0.00024395
42,12527.5,0.57182,1.02135,0.61045,0.94851,0,0.65136,0.76292,0.71042,0.57116,0.54913,0.65458,0.60416,0.46946,0.78674,1.19457,1.08409,1.15636,0,0.000229224,0.000229224,0.000229224
43,12818.6,0.58425,1.06283,0.60581,0.94245,0,0.58914,0.78003,0.69514,0.56087,0.4823,0.67772,0.58685,0.45754,0.81984,1.26641,1.05853,1.19277,0,0.000214497,0.000214497,0.000214497
44,13108.2,0.56878,1.04267,0.60087,0.94866,0,0.64552,0.71699,0.7058,0.55049,0.53902,0.60195,0.58488,0.44721,0.79234,1.26415,1.06065,1.16839,0,0.000199771,0.000199771,0.000199771
45,13397.8,0.56898,1.05754,0.58572,0.94926,0,0.70769,0.72755,0.72217,0.58544,0.58147,0.62264,0.60558,0.47659,0.79538,1.26063,1.05386,1.16025,0,0.000185045,0.000185045,0.000185045
46,13688.1,0.57427,1.02966,0.59168,0.93985,0,0.68072,0.76999,0.71499,0.57859,0.56706,0.65555,0.59962,0.46846,0.78883,1.27613,1.07813,1.16095,0,0.000170319,0.000170319,0.000170319
47,13947.2,0.5992,0.90158,0.60739,0.9366,0,0.61701,0.7873,0.70349,0.55107,0.50934,0.67896,0.591,0.45593,0.83559,1.31397,1.09909,1.18903,0,0.000155593,0.000155593,0.000155593
48,14204.6,0.58547,0.88944,0.59901,0.93396,0,0.60845,0.79149,0.6881,0.54706,0.49147,0.67365,0.56919,0.43911,0.78254,1.30865,1.06826,1.1612,0,0.000140866,0.000140866,0.000140866
49,14464.2,0.57241,0.88963,0.58313,0.9329,0,0.59048,0.7754,0.70158,0.55333,0.48101,0.65988,0.58507,0.44997,0.79214,1.30702,1.06066,1.15794,0,0.00012614,0.00012614,0.00012614
50,14707.3,0.57625,0.89926,0.57469,0.92516,0,0.59575,0.772,0.70892,0.55501,0.47721,0.63907,0.58592,0.44914,0.78705,1.29194,1.04989,1.15764,0,0.000111414,0.000111414,0.000111414
51,14912.6,0.56374,0.8844,0.56061,0.92711,0,0.62492,0.75578,0.70163,0.55195,0.53513,0.63526,0.58443,0.44369,0.79118,1.29799,1.03991,1.15742,0,9.66875e-05,9.66875e-05,9.66875e-05
52,15130.4,0.56181,0.87078,0.56494,0.92404,0,0.71035,0.66342,0.7131,0.5632,0.60537,0.55302,0.59063,0.46126,0.78514,1.30483,1.0512,1.16562,0,8.19613e-05,8.19613e-05,8.19613e-05
53,15364.7,0.55901,0.87968,0.54962,0.91993,0,0.62511,0.76045,0.71399,0.56332,0.51923,0.63805,0.59422,0.47011,0.78421,1.35375,1.07131,1.16012,0,6.7235e-05,6.7235e-05,6.7235e-05
54,15638.2,0.55597,0.851,0.55564,0.91998,0,0.6263,0.73871,0.71174,0.56366,0.51469,0.62585,0.58776,0.46544,0.77743,1.37352,1.06438,1.14799,0,5.25088e-05,5.25088e-05,5.25088e-05
55,15900.4,0.5514,0.8606,0.53764,0.91966,0,0.6244,0.72409,0.71157,0.5684,0.51009,0.60902,0.58392,0.46536,0.7713,1.3406,1.07049,1.14591,0,3.77825e-05,3.77825e-05,3.77825e-05
56,16163.6,0.55167,0.85688,0.5415,0.91775,0,0.62338,0.73578,0.70924,0.55985,0.5109,0.62416,0.58663,0.45512,0.76983,1.34066,1.06632,1.15028,0,2.30563e-05,2.30563e-05,2.30563e-05
