epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,15783.7,0.74855,1.34965,0.96196,1.01742,0.56069,0.71453,0.67305,0.50071,0.49199,0.51142,0.55204,0.39544,0.94834,1.31989,1.28799,1.23912,0.000643326,0.000643326,0.000643326
25,19154.7,0.75134,1.28524,0.92745,1.02433,0.74905,0.62766,0.7175,0.53374,0.63249,0.50587,0.59761,0.4458,0.92464,1.21762,1.33167,1.18272,0.000635079,0.000635079,0.000635079
26,19451.8,0.73854,1.2787,0.92745,1.02018,0.59823,0.79408,0.6928,0.51149,0.47405,0.66212,0.56035,0.40493,0.92569,1.14147,1.25615,1.1818,0.000626832,0.000626832,0.000626832
27,19782.3,0.74437,1.2962,0.92526,1.01452,0.62186,0.69413,0.70752,0.51731,0.48806,0.60784,0.57962,0.42061,0.9353,1.32217,1.25688,1.21679,0.000618586,0.000618586,0.000618586
28,20182.2,0.72787,1.24579,0.91944,1.01552,0.62347,0.66986,0.68806,0.50697,0.50067,0.52893,0.56721,0.39376,0.94576,1.36456,1.24948,1.26327,0.000610339,0.000610339,0.000610339
29,20552.1,0.73875,1.25255,0.91296,1.02527,0.56325,0.70604,0.67611,0.50307,0.4892,0.54758,0.56368,0.41254,0.91679,1.34165,1.26351,1.20236,0.000602092,0.000602092,0.000602092
30,20922.8,0.72645,1.28921,0.90086,1.0109,0.62238,0.70351,0.66372,0.4911,0.5189,0.59323,0.54962,0.39603,0.95712,1.42867,1.28927,1.19929,0.000593846,0.000593846,0.000593846
31,21294.3,0.72291,1.24675,0.8765,1.00468,0.6175,0.74176,0.69392,0.5293,0.48263,0.6201,0.56796,0.41541,0.91359,1.36008,1.2149,1.19671,0.000585599,0.000585599,0.000585599
32,21647.6,0.70201,1.23908,0.85787,1.00043,0.56271,0.70329,0.66611,0.47551,0.4448,0.58996,0.5441,0.36883,1.02141,1.6139,1.28513,1.28798,0.000577352,0.000577352,0.000577352
33,21960.2,0.71575,1.25407,0.87303,1.01135,0.59838,0.70337,0.67504,0.51357,0.47714,0.58378,0.5697,0.41101,0.90859,1.33611,1.24515,1.21999,0.000569106,0.000569106,0.000569106
34,26517.2,0.69845,1.21199,0.8513,1.00383,0.63794,0.79915,0.78524,0.54028,0.51646,0.67321,0.65634,0.4336,0.93113,1.43249,1.21733,1.21863,0.000560859,0.000560859,0.000560859
35,28678.8,0.69037,1.20394,0.83886,0.98665,0.60819,0.65001,0.70255,0.49838,0.47494,0.52,0.57707,0.38736,0.98203,1.49046,1.26314,1.2714,0.000552612,0.000552612,0.000552612
36,45101.4,0.69355,1.20792,0.84903,0.99926,0.57298,0.61268,0.63338,0.48124,0.43584,0.62037,0.53128,0.37157,0.90537,1.28937,1.2907,1.25502,0.000544365,0.000544365,0.000544365
37,96885.5,0.68581,1.22248,0.8349,0.99465,0.59456,0.68576,0.67093,0.50294,0.48257,0.57429,0.54585,0.39514,0.91468,1.37916,1.27618,1.24834,0.000536119,0.000536119,0.000536119
38,97366.9,0.68442,1.14307,0.82488,0.9893,0.58951,0.67611,0.69286,0.53443,0.4681,0.56974,0.57255,0.43219,0.85121,1.21199,1.20414,1.14071,0.000527872,0.000527872,0.000527872
39,97729.8,0.70203,1.20345,0.83633,1.00007,0.63807,0.69265,0.67145,0.50201,0.53258,0.58037,0.56569,0.4224,0.89801,1.25521,1.22491,1.23306,0.000519625,0.000519625,0.000519625
40,98106.1,0.68661,1.21758,0.826,0.99746,0.64247,0.69105,0.7418,0.56083,0.5467,0.57921,0.64107,0.47457,0.97057,1.30973,1.18289,1.28516,0.000511379,0.000511379,0.000511379
41,98492.8,0.66221,1.14818,0.78778,0.9802,0.63922,0.69823,0.70338,0.52917,0.52303,0.56315,0.59897,0.43457,0.91984,1.39848,1.21838,1.24079,0.000503132,0.000503132,0.000503132
42,98835.9,0.68222,1.15948,0.79821,1.00283,0.58737,0.67079,0.67772,0.48968,0.53465,0.58226,0.57345,0.39109,0.92908,1.37931,1.15917,1.2641,0.000494885,0.000494885,0.000494885
43,99218.4,0.68212,1.18679,0.80826,0.98846,0.56503,0.79442,0.7064,0.51665,0.4627,0.64904,0.589,0.41282,0.89503,1.30124,1.19875,1.25652,0.000486639,0.000486639,0.000486639
