component,body,Category,L_mm,W_mm,H_mm,volume_mm3,appearance,quantity,visibility,measurement_type
Sofa Internal Structure,Body83,Backrest Belts,50.0,412.58,104.32,30171.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body84,Backrest Belts,50.0,412.54,104.32,31516.22,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Foam Pink,Foam,1600.0,51.16,615.11,49993838.28,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Foam Black,Foam,1600.0,51.16,615.11,49993838.28,Powder Coat (Black),1,External,Continuous
Sofa Internal Structure,Body87,Foam,1600.0,180.06,25.4,7317689.56,Powder Coat (Black),1,External,Continuous
Sofa Internal Structure,Body88,Fabric,1600.0,20.5,37.71,44640.51,Fabric (White),1,External,Continuous
Sofa Internal Structure,Body89,Foam,1600.0,428.33,186.37,53845512.3,Powder Coat (Blue),1,External,Continuous
Sofa Internal Structure,Body90,Foam,1600.0,11.5,64.88,1167132.91,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body95,Foam,1610.0,679.65,159.0,5089847.84,Powder Coat (Yellow),1,External,Continuous
Sofa Internal Structure,Body98,Handle Frame,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body99,Handle Frame,166.69,142.78,769.0,3563886.23,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body100,Handle Frame,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body102,Handle Frame,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body103,Handle Frame,50.57,48.02,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body104,Handle Frame,25.0,65.0,771.0,1252875.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body105,Handle Frame,45.0,25.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body106,Handle Frame,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body107,Handle Frame,153.0,25.0,65.0,248625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body108,Handle Frame,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body109,Handle Frame,153.0,25.0,65.0,248625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body130,Handle Foam,179.77,167.16,770.0,9299006.35,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body132,Handle Frame,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body133,Handle Frame,166.69,142.78,769.0,3563886.23,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body134,Handle Frame,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body135,Handle Frame,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body136,Handle Frame,50.57,48.02,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body137,Handle Frame,25.0,65.0,771.0,1252875.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body138,Handle Frame,45.0,25.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body139,Handle Frame,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body140,Handle Frame,153.0,25.0,65.0,248625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body141,Handle Frame,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body142,Handle Frame,153.0,25.0,65.0,248625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body143,Handle Foam,179.77,167.16,770.0,9299006.35,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body146,Handle Foam,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body147,Handle Foam,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body148,Handle Foam,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body149,Handle Foam,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body150,Handle Foam,38.4,79.22,795.0,619284.5,Powder Coat (Blue),1,External,Continuous
Sofa Internal Structure,Body153,Handle Foam,216.0,332.1,821.0,4668008.16,Powder Coat (Yellow),1,External,Continuous
Sofa Internal Structure,Body154,Handle Foam,38.4,79.22,795.0,619284.5,Powder Coat (Blue),1,External,Continuous
Sofa Internal Structure,Body155,Handle Foam,216.0,332.1,821.0,4668008.16,Powder Coat (Yellow),1,External,Continuous
Sofa Internal Structure,Body7 (1) (2) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (3),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1) (2),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1) (1) (1) (1) (1) (1) (1) (1) (1) (1),Clips,20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body226,Fabric,2060.8,693.01,837.64,0.0,Fabric (Green),1,External,Continuous
