component,body,L_mm,W_mm,H_mm,volume_mm3,appearance,quantity,visibility,measurement_type
Sofa Internal Structure,Body89,1600.0,428.33,186.37,53845512.3,Powder Coat (Blue),1,External,Continuous
Sofa Internal Structure,Body90,1600.0,11.5,64.88,1167132.91,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body95,1610.0,679.65,159.0,5089847.84,Powder Coat (Yellow),1,External,Continuous
Sofa Internal Structure,Body98,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body99,166.69,142.78,769.0,3563886.23,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body100,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body102,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body103,50.57,48.02,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body104,25.0,65.0,771.0,1252875.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body105,45.0,25.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body106,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body107,153.0,25.0,65.0,248625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body108,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body109,153.0,25.0,65.0,248625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body130,179.77,167.16,770.0,9299006.35,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body132,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body133,166.69,142.78,769.0,3563886.23,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body134,203.0,332.1,12.0,684316.09,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body135,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body136,50.57,48.02,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body137,25.0,65.0,771.0,1252875.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body138,45.0,25.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body139,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body140,153.0,25.0,65.0,248625.0,Oak - Glossy,1,External,Continuous
Sofa Internal Structure,Body141,25.0,45.0,771.0,867375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body142,153.0,25.0,65.0,248625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body143,179.77,167.16,770.0,9299006.35,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body146,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body147,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body148,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body149,196.74,201.91,12.0,301798.39,Powder Coat (Dark Grey),1,External,Continuous
Sofa Internal Structure,Body150,38.4,79.22,795.0,619284.5,Powder Coat (Blue),1,External,Continuous
Sofa Internal Structure,Body153,216.0,332.1,821.0,4668008.16,Powder Coat (Yellow),1,External,Continuous
Sofa Internal Structure,Body154,38.4,79.22,795.0,619284.5,Powder Coat (Blue),1,External,Continuous
Sofa Internal Structure,Body155,216.0,332.1,821.0,4668008.16,Powder Coat (Yellow),1,External,Continuous
Sofa Internal Structure,Body7 (1) (2) (1),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (1) (1),20.0,1.0,22.0,394.57,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2) (2) (1),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
