body,scaled_L_mm,scaled_W_mm,scaled_H_mm,scaled_min_x_mm,scaled_min_y_mm,scaled_min_z_mm,scaled_max_x_mm,scaled_max_y_mm,scaled_max_z_mm,scaled_center_x_mm,scaled_center_y_mm,scaled_center_z_mm
seat_top,1872.0,51.16,396.0,-800.0,212.5,-220.06,800.0,263.66,395.05,0.0,238.08,87.49
seat_front,1872.0,58.01,25.4,-800.0,83.59,396.02,800.0,263.65,421.42,0.0,173.62,408.72
backrest_front,1628.0320000000004,428.33,573.98,-800.0,263.31,-323.55,800.0,691.64,-137.18,0.0,477.47,-230.36
backrest_back,1628.0320000000002,679.65,837.64,-805.0,-0.01,-400.0,805.0,679.64,-241.0,0.0,339.81,-320.5
right_armrest_front,288.0,387.0,12.0,806.65,235.0,383.0,1003.4,436.91,395.0,905.03,335.96,389.0
left_armrest_front,288.0,387.0,12.0,-1003.4,235.0,383.0,-806.65,436.91,395.0,-905.03,335.96,389.0
right_armrest_base,288.0,387.0,821.0,813.4,-0.01,-413.0,1029.4,332.09,408.0,921.4,166.04,-2.5
left_armrest_base,288.0,387.0,821.0,-1029.4,-0.01,-413.0,-813.4,332.09,408.0,-921.4,166.04,-2.5
